date,demand,RRP,frac_at_neg_RRP,min_temperature,max_temperature,temp_ave,solar_exposure
6/10/2018,102988.145,100.1029263,0,8.3,23.8,16.05,22.7
7/10/2018,100476.705,87.87165422,0,10.3,24.7,17.5,21.2
8/10/2018,113945.5,87.10126161,0,13.5,28.2,20.85,22.7
9/10/2018,116449.31,99.00074936,0,16.1,17.9,17,7.2
10/10/2018,109551.08,73.53969761,0,10.1,16.5,13.3,20
11/10/2018,110432.33,85.63040854,0,6.4,20.7,13.55,23.7
12/10/2018,110457.335,88.47236457,0,8.7,22.7,15.7,23.9
13/10/2018,96584.745,74.61660015,0,10.5,24.9,17.7,23.2
14/10/2018,90918.615,56.86416434,0,12.4,27.3,19.85,22.1
15/10/2018,108070.275,79.18245441,0,19.5,27.5,23.5,19.4
16/10/2018,113889.41,89.02524597,0,20,23.1,21.55,6.1
17/10/2018,112592.26,122.20067,0,16.1,22.6,19.35,15.1
18/10/2018,112806.585,165.7797098,0,14.7,20.7,17.7,10.5
19/10/2018,107940.16,101.6603803,0,12.8,27.4,20.1,23
20/10/2018,99368.855,96.29224204,0,11.7,16.1,13.9,9.8
21/10/2018,98427.53,81.92092442,0,7.6,19.2,13.4,22.7
22/10/2018,105893.615,84.17539042,0,8.9,27,17.95,25.7
23/10/2018,109241.565,90.93533587,0,13,18.8,15.9,16.7
24/10/2018,111423.365,93.34475257,0,9.2,15.5,12.35,19.7
25/10/2018,112414.39,115.427252,0,6.4,19.5,12.95,25
26/10/2018,111145.12,111.2042443,0,9.6,18.3,13.95,23.7
27/10/2018,97973.985,98.83226708,0,11.3,19.6,15.45,20.5
28/10/2018,95624.015,110.2151781,0,9.3,15.9,12.6,22.8
29/10/2018,110196.615,142.3380601,0,9.1,17,13.05,25.6
30/10/2018,113459.025,149.0806203,0,8.3,25.2,16.75,25.8
31/10/2018,114402.745,121.6154276,0,13,19.5,16.25,16.7
1/11/2018,119350.665,101.7889277,0,12.8,34.3,23.55,14.2
2/11/2018,116793.855,79.01902017,0,16.3,31.6,23.95,13.4
3/11/2018,93859.285,74.72966509,0,12.6,20.9,16.75,19.9
4/11/2018,96432.625,90.90147276,0,9.2,20.9,15.05,19.7
5/11/2018,107014.075,104.6322227,0,14.5,28.6,21.55,15.8
6/11/2018,100696.565,115.778035,0,16.3,21.4,18.85,7.8
7/11/2018,106387.195,95.56956477,0,11.1,17.2,14.15,18.2
8/11/2018,109430.37,91.88451742,0,7.7,17,12.35,22.7
9/11/2018,112506.95,101.7347422,0,8,20,14,14.8
10/11/2018,100203.55,86.72527139,0,9,20.3,14.65,27.3
11/11/2018,94602.89,76.6722044,0,9.3,19.6,14.45,29.1
12/11/2018,114159.595,105.4518321,0,10.9,30.2,20.55,17.5
13/11/2018,120185.265,111.5733647,0,16.9,30.5,23.7,18.4
14/11/2018,116487.58,119.6247227,0,14.8,17.3,16.05,7.2
15/11/2018,108628.34,96.50196575,0,13.7,18.1,15.9,23.8
16/11/2018,107405.925,97.76708195,0,8.3,19,13.65,29.8
17/11/2018,90498.92,83.26708138,0,9.6,18.1,13.85,29.9
18/11/2018,92043.13,89.24819359,0,9.8,26.6,18.2,30.1
19/11/2018,113978.535,104.471263,0,15.4,30.9,23.15,27.5
20/11/2018,118330.625,110.715976,0,22.5,27.6,25.05,5.5
21/11/2018,106618.195,100.4282531,0,12.3,23.2,17.75,24.2
22/11/2018,107278.83,77.20890254,0,9.7,16.4,13.05,20.3
23/11/2018,113582.6,93.52890647,0,11,14.5,12.75,3.5
24/11/2018,101352.12,110.5056773,0,11.1,16.9,14,15.8
25/11/2018,96240.41,116.4628124,0,12.7,18.8,15.75,20.5
26/11/2018,110547.605,112.209263,0,11.9,18.6,15.25,25.5
27/11/2018,109706.42,109.7616976,0,14.4,20,17.2,23.3
28/11/2018,106684.825,98.17826,0,14.4,20.8,17.6,18
29/11/2018,112586.74,116.3293321,0,13.9,18.7,16.3,21.1
30/11/2018,110031.82,106.2941526,0,14.7,20.8,17.75,28
1/12/2018,100725.24,71.1047405,0.020833334,10.3,31.7,21,30.8
2/12/2018,88903.065,24.45538203,0.1875,12.2,19.5,15.85,18.9
3/12/2018,107666.305,71.12619871,0,13.3,23.6,18.45,13.4
4/12/2018,111718.075,92.94554896,0,13.4,20.5,16.95,28.2
5/12/2018,114225.12,86.81499911,0,13.4,25.2,19.3,31.1
6/12/2018,135452.26,125.3081084,0,14.5,35.5,25,31.3
7/12/2018,156648.405,177.8618168,0,25.1,38,31.55,27.1
8/12/2018,121237.47,113.367033,0,22.7,30.3,26.5,11
9/12/2018,102161.115,80.18878765,0,16,20.1,18.05,11.8
10/12/2018,110803.765,95.22572314,0,15.8,20.6,18.2,28.5
11/12/2018,114413.785,118.6444142,0,13,23.6,18.3,31.6
12/12/2018,129715.465,199.184327,0,16,33.6,24.8,29.4
13/12/2018,114986.33,101.8597212,0,16.9,21.1,19,6
14/12/2018,110025.465,92.95802927,0,16.4,22.7,19.55,13.7
15/12/2018,102577.145,101.632949,0,17.2,24.8,21,17.5
16/12/2018,99110.775,101.4492327,0,15.8,23.5,19.65,16.3
17/12/2018,112804.4,101.4038885,0,15.6,21.8,18.7,23.2
18/12/2018,113485.105,104.7225562,0,16.7,20.8,18.75,21.1
19/12/2018,119907.245,117.7077224,0,16.8,26.9,21.85,16.6
20/12/2018,111880.525,75.55546269,0,16.9,21.2,19.05,14.8
21/12/2018,102075.925,65.93243797,0,15.4,20.9,18.15,9.6
22/12/2018,92725.74,69.25045796,0,14.1,19.1,16.6,27.8
23/12/2018,94938.395,65.61224819,0,11.5,26.9,19.2,32.3
24/12/2018,112358.815,96.81717936,0,14.3,34.2,24.25,32.3
25/12/2018,98191.655,55.2385453,0,15.8,23.9,19.85,32.2
26/12/2018,100017.195,77.57835478,0,13.3,23.8,18.55,32.3
27/12/2018,129749.14,102.3108963,0,16.2,37.4,26.8,29.3
28/12/2018,133831.375,121.4607191,0,21.9,36.4,29.15,19.1
29/12/2018,108290.11,91.7235266,0,21,23.9,22.45,5.7
30/12/2018,99613.865,84.16649527,0,18.2,22.7,20.45,9.9
31/12/2018,103381.915,84.89799706,0,17.3,23.5,20.4,31.3
1/01/2019,98933.06,78.56097897,0,15.5,26.2,20.85,31.7
2/01/2019,106470.675,92.2020112,0,18.4,22.2,20.3,26.3
3/01/2019,118789.605,127.3803026,0,15.9,29.5,22.7,27.6
4/01/2019,133288.46,121.0209967,0,18,42.6,30.3,27.4
5/01/2019,97262.79,83.49352049,0,17.4,21.2,19.3,12.9
6/01/2019,93606.215,65.76640698,0,14.6,22.1,18.35,30.9
7/01/2019,109874.9,85.07795745,0,17.1,23.1,20.1,30.2
8/01/2019,113446.1,104.9077815,0,16.7,24.1,20.4,28.9
9/01/2019,105483.435,91.85154672,0,16.1,20.5,18.3,28.4
10/01/2019,108078.695,96.41374257,0,13.5,21.4,17.45,25.8
11/01/2019,119728.635,116.3056708,0,12.9,30.4,21.65,31.5
12/01/2019,108628.96,88.99664281,0,17.7,24.7,21.2,28.6
13/01/2019,101853.24,75.27302388,0,14.4,30.5,22.45,31.3
14/01/2019,147070.535,188.1976495,0,18.7,32.3,25.5,31.1
