date,demand,RRP,frac_at_neg_RRP,min_temperature,max_temperature,temp_ave,solar_exposure,rainfall,school_day,holiday,demand_pos_RRP,demand_neg_RRP,DEMAND_NET*,RRP_positive,RRP_negative
6/10/2018,102988.145,100.1029263,0,8.3,23.8,16.05,22.7,0,N,N,102988.145,0,102988.145,100.1029263,0
7/10/2018,100476.705,87.87165422,0,10.3,24.7,17.5,21.2,0,N,N,100476.705,0,100476.705,87.87165422,0
8/10/2018,113945.5,87.10126161,0,13.5,28.2,20.85,22.7,0,N,N,113945.5,0,113945.5,87.10126161,0
9/10/2018,116449.31,99.00074936,0,16.1,17.9,17,7.2,,Y,N,116449.31,0,116449.31,99.00074936,0
10/10/2018,109551.08,73.53969761,0,10.1,16.5,13.3,20,,Y,N,109551.08,0,109551.08,73.53969761,0
11/10/2018,110432.33,85.63040854,0,6.4,20.7,13.55,23.7,0,Y,N,110432.33,0,110432.33,85.63040854,0
12/10/2018,110457.335,88.47236457,0,8.7,22.7,15.7,23.9,0,Y,N,110457.335,0,110457.335,88.47236457,0
13/10/2018,96584.745,74.61660015,0,10.5,24.9,17.7,23.2,0,Y,N,96584.745,0,96584.745,74.61660015,0
14/10/2018,90918.615,56.86416434,0,12.4,27.3,19.85,22.1,0,Y,N,90918.615,0,90918.615,56.86416434,0
15/10/2018,108070.275,79.18245441,0,19.5,27.5,23.5,19.4,0,Y,N,108070.275,0,108070.275,79.18245441,0
16/10/2018,113889.41,89.02524597,0,20,23.1,21.55,6.1,0.2,Y,N,113889.41,0,113889.41,89.02524597,0
17/10/2018,112592.26,122.20067,0,16.1,22.6,19.35,15.1,5.2,Y,N,112592.26,0,112592.26,122.20067,0
18/10/2018,112806.585,165.7797098,0,14.7,20.7,17.7,10.5,2,Y,N,112806.585,0,112806.585,165.7797098,0
19/10/2018,107940.16,101.6603803,0,12.8,27.4,20.1,23,0,Y,N,107940.16,0,107940.16,101.6603803,0
20/10/2018,99368.855,96.29224204,0,11.7,16.1,13.9,9.8,5,Y,N,99368.855,0,99368.855,96.29224204,0
21/10/2018,98427.53,81.92092442,0,7.6,19.2,13.4,22.7,5.6,Y,N,98427.53,0,98427.53,81.92092442,0
22/10/2018,105893.615,84.17539042,0,8.9,27,17.95,25.7,0,Y,N,105893.615,0,105893.615,84.17539042,0
23/10/2018,109241.565,90.93533587,0,13,18.8,15.9,16.7,0,Y,N,109241.565,0,109241.565,90.93533587,0
24/10/2018,111423.365,93.34475257,0,9.2,15.5,12.35,19.7,0,Y,N,111423.365,0,111423.365,93.34475257,0
25/10/2018,112414.39,115.427252,0,6.4,19.5,12.95,25,0,Y,N,112414.39,0,112414.39,115.427252,0
26/10/2018,111145.12,111.2042443,0,9.6,18.3,13.95,23.7,0,Y,N,111145.12,0,111145.12,111.2042443,0
27/10/2018,97973.985,98.83226708,0,11.3,19.6,15.45,20.5,0,Y,N,97973.985,0,97973.985,98.83226708,0
28/10/2018,95624.015,110.2151781,0,9.3,15.9,12.6,22.8,0,Y,N,95624.015,0,95624.015,110.2151781,0
29/10/2018,110196.615,142.3380601,0,9.1,17,13.05,25.6,0,Y,N,110196.615,0,110196.615,142.3380601,0
30/10/2018,113459.025,149.0806203,0,8.3,25.2,16.75,25.8,0,Y,N,113459.025,0,113459.025,149.0806203,0
31/10/2018,114402.745,121.6154276,0,13,19.5,16.25,16.7,0,Y,N,114402.745,0,114402.745,121.6154276,0
1/11/2018,119350.665,101.7889277,0,12.8,34.3,23.55,14.2,0,Y,N,119350.665,0,119350.665,101.7889277,0
2/11/2018,116793.855,79.01902017,0,16.3,31.6,23.95,13.4,0,Y,N,116793.855,0,116793.855,79.01902017,0
3/11/2018,93859.285,74.72966509,0,12.6,20.9,16.75,19.9,0.2,Y,N,93859.285,0,93859.285,74.72966509,0
4/11/2018,96432.625,90.90147276,0,9.2,20.9,15.05,19.7,0,Y,N,96432.625,0,96432.625,90.90147276,0
5/11/2018,107014.075,104.6322227,0,14.5,28.6,21.55,15.8,2.8,Y,N,107014.075,0,107014.075,104.6322227,0
6/11/2018,100696.565,115.778035,0,16.3,21.4,18.85,7.8,4.4,Y,Y,100696.565,0,100696.565,115.778035,0
7/11/2018,106387.195,95.56956477,0,11.1,17.2,14.15,18.2,35.8,Y,N,106387.195,0,106387.195,95.56956477,0
8/11/2018,109430.37,91.88451742,0,7.7,17,12.35,22.7,3,Y,N,109430.37,0,109430.37,91.88451742,0
9/11/2018,112506.95,101.7347422,0,8,20,14,14.8,0,Y,N,112506.95,0,112506.95,101.7347422,0
10/11/2018,100203.55,86.72527139,0,9,20.3,14.65,27.3,0,Y,N,100203.55,0,100203.55,86.72527139,0
11/11/2018,94602.89,76.6722044,0,9.3,19.6,14.45,29.1,0.2,Y,N,94602.89,0,94602.89,76.6722044,0
12/11/2018,114159.595,105.4518321,0,10.9,30.2,20.55,17.5,0,Y,N,114159.595,0,114159.595,105.4518321,0
