date,demand,RRP,temp_ave,solar_exposure
23/05/2020,115234.32,40.60516447,11.45,5.8
24/05/2020,109579.82,39.99310228,12.35,7.9
25/05/2020,125532.575,46.78488884,10.75,10
26/05/2020,126788.835,46.7074665,11.95,9.4
27/05/2020,124189.8,50.44310686,11.5,7.8
28/05/2020,124062.485,65.36037865,14.85,6.7
29/05/2020,120072.09,50.14294437,12.15,9.6
30/05/2020,102231.77,21.75529586,12.6,9.3
31/05/2020,102684.59,30.29992998,15.1,8
1/06/2020,132039.705,35.15095713,10.25,2.6
2/06/2020,132710.36,40.30454693,12,4.9
3/06/2020,130801.825,46.17833796,12.3,7.3
4/06/2020,133322.025,52.41174158,11.55,9.3
5/06/2020,137368.465,62.03344383,9.35,9.4
6/06/2020,126427.92,51.80529968,9.65,6.6
7/06/2020,119524.41,52.5677437,9.85,6.3
8/06/2020,124792.975,64.9355269,8.55,8.8
9/06/2020,141571.295,134.7476148,8.65,9.3
10/06/2020,137795.795,121.1776674,10.3,8.8
11/06/2020,141444.445,99.91431747,10.7,9.1
12/06/2020,134684.585,50.25057404,9.75,9.2
13/06/2020,117394.455,31.44827161,11.05,3.4
14/06/2020,107553.005,24.87964662,12.8,8
15/06/2020,121221.455,26.0068805,15,8
16/06/2020,124473.67,34.23091122,15.45,6.7
17/06/2020,133969.69,66.78362319,12.4,8.5
18/06/2020,130437.325,35.14292887,10.75,9.1
19/06/2020,120149.435,30.51870659,12.1,8.6
20/06/2020,109644.695,34.0593321,14.85,8.5
21/06/2020,121528.375,36.99437852,9.45,4.9
22/06/2020,136373.435,45.89619048,10.55,5.5
23/06/2020,131904.745,48.98674317,11.7,8.4
24/06/2020,133100.905,56.72143583,12.5,8
25/06/2020,131466.24,39.91004036,13.05,5
26/06/2020,136872.56,55.53696115,10.85,8.8
27/06/2020,126938.54,48.3032828,9.65,7.9
28/06/2020,125830.75,49.19876027,7.1,9.3
29/06/2020,141431.99,42.72455245,8.8,9.3
30/06/2020,137644.865,32.46337485,9.1,7.7
1/07/2020,126614.72,33.15843237,13.6,9.1
2/07/2020,131372.71,37.36642631,12.65,7.3
3/07/2020,143010.27,43.51202037,9,4.1
4/07/2020,125400.27,50.02610058,10.5,5.7
5/07/2020,118507.76,50.7877126,10.7,6.5
6/07/2020,136255.335,75.96062272,10.6,5.8
7/07/2020,140264.52,88.33624266,10.35,4.8
8/07/2020,138627.11,80.38819689,10.3,9.4
9/07/2020,135266.165,70.71627991,11.45,8.5
10/07/2020,134041.23,67.7398805,11.65,7.9
11/07/2020,130088.95,81.92988413,9.35,3.3
12/07/2020,118837.05,61.71948241,11.6,8.3
13/07/2020,130119.41,61.12317036,11.9,7.4
14/07/2020,133668.935,61.11233617,10.95,7.6
15/07/2020,135296.8,68.56981008,10.45,9.4
16/07/2020,143158.89,86.65821645,7.85,8.7
17/07/2020,143109.355,73.81550841,7.95,7.4
18/07/2020,125303.885,43.53431853,8.25,8.3
19/07/2020,114065.32,31.20876798,11.75,7.6
20/07/2020,132894.41,58.02011972,10.7,8.2
21/07/2020,140086.105,95.13777966,10.05,8.1
22/07/2020,138666.105,93.87503029,10.7,8.4
23/07/2020,142476.365,103.9160215,10.05,7.5
24/07/2020,133822.7,61.44914004,9.8,10.5
25/07/2020,128417.22,72.0830116,8.25,9.6
26/07/2020,123014.555,69.92282946,8.9,7.2
27/07/2020,132571.33,59.48642642,10.45,7.3
28/07/2020,132720.395,59.04477848,12.6,8
29/07/2020,130547.735,67.52983163,12.45,9
30/07/2020,132583.64,63.22321802,11.1,11.3
31/07/2020,132105.75,73.08227616,10.25,11.3
1/08/2020,111590.65,47.91589475,11.05,11.1
2/08/2020,109935.335,50.24795698,13.6,11.7
3/08/2020,127930.355,47.6889717,11.75,10.2
4/08/2020,140042.145,49.18959504,7.8,10
5/08/2020,140205.295,55.46471438,8,9.6
6/08/2020,140835.175,69.43370924,9.15,10.8
7/08/2020,144062.61,60.11943198,8,5.8
8/08/2020,121119.265,53.51866097,9.8,7.2
9/08/2020,111165.955,45.52217119,12.35,10.2
10/08/2020,125959.75,53.42043452,10.25,12.7
11/08/2020,130141.225,42.32865173,10.05,10.3
12/08/2020,127945.31,58.62900738,12.65,10
13/08/2020,121914.44,52.32015788,14.75,11
14/08/2020,124640.09,69.84183616,14.4,7
15/08/2020,113755.18,52.51504329,11.15,13
16/08/2020,111034.745,58.425199,12.85,9.9
17/08/2020,121520.57,60.71057206,12.9,10.4
18/08/2020,119321.855,44.02416502,13.6,11.2
19/08/2020,129884.75,62.12320763,11.2,7.9
20/08/2020,123490.855,54.11355268,12.65,9.6
21/08/2020,125707.04,48.50830488,11.3,12.2
22/08/2020,127131.37,56.06549025,8.45,3.8
23/08/2020,117125.065,53.93795084,9.15,8.6
24/08/2020,134984.79,134.4884221,9.35,12.8
25/08/2020,138437.855,82.74421296,8.3,11.2
26/08/2020,129322.31,90.6668878,10.3,12.8
27/08/2020,119044.425,45.56437394,14.75,13.1
28/08/2020,118809.08,61.60884765,13.05,15.1
29/08/2020,100166.885,15.29224188,14.25,15.6
30/08/2020,98917.175,9.421018531,15.9,9
31/08/2020,121605.395,58.5526285,9.7,13.5
1/09/2020,119645.18,52.28162464,11.15,15.9
2/09/2020,113547.67,31.7696948,15.3,12.1
3/09/2020,109327.46,25.56711429,16.4,13.5
4/09/2020,114865.645,37.04256916,13.15,12.7
5/09/2020,105534.01,49.7384538,13.15,15
6/09/2020,95865.14,26.51715961,13.05,16.9
7/09/2020,99778.2,18.90752412,15.85,17.1
8/09/2020,112421.09,35.90195556,18.25,4.8
9/09/2020,112140.47,37.01543366,11.85,14.8
10/09/2020,109328.335,31.15281617,13.4,17.5
11/09/2020,106643.05,22.38646877,14.9,13.4
12/09/2020,111644.6,34.26416783,14.65,4
13/09/2020,96225.91,28.32769033,14.55,16.5
14/09/2020,107196.61,41.85212803,13.85,18.1
15/09/2020,113008.77,44.30535805,11.6,18.3
16/09/2020,110807.72,34.96841219,14.95,17.4
17/09/2020,115643.44,34.6966765,13.65,9.4
18/09/2020,112335.7,40.83704346,13.55,13.6
19/09/2020,93384,24.26530783,18.8,17.1
20/09/2020,86891.23,23.05133479,19.55,16.7
21/09/2020,100977.95,34.25364192,18.2,13
22/09/2020,103200.64,25.92532279,15.6,16.8
23/09/2020,112412.445,34.21179457,12.85,12.3
24/09/2020,117535.715,51.7793561,11.6,13.9
25/09/2020,126354.68,53.42920966,9.55,7.2
