date,demand,RRP,temp_ave,solar_exposure
6/10/2018,102988.145,100.1029263,16.05,22.7
7/10/2018,100476.705,87.87165422,17.5,21.2
8/10/2018,113945.5,87.10126161,20.85,22.7
9/10/2018,116449.31,99.00074936,17,7.2
10/10/2018,109551.08,73.53969761,13.3,20
11/10/2018,110432.33,85.63040854,13.55,23.7
12/10/2018,110457.335,88.47236457,15.7,23.9
13/10/2018,96584.745,74.61660015,17.7,23.2
14/10/2018,90918.615,56.86416434,19.85,22.1
15/10/2018,108070.275,79.18245441,23.5,19.4
16/10/2018,113889.41,89.02524597,21.55,6.1
17/10/2018,112592.26,122.20067,19.35,15.1
18/10/2018,112806.585,165.7797098,17.7,10.5
19/10/2018,107940.16,101.6603803,20.1,23
20/10/2018,99368.855,96.29224204,13.9,9.8
21/10/2018,98427.53,81.92092442,13.4,22.7
22/10/2018,105893.615,84.17539042,17.95,25.7
23/10/2018,109241.565,90.93533587,15.9,16.7
24/10/2018,111423.365,93.34475257,12.35,19.7
25/10/2018,112414.39,115.427252,12.95,25
26/10/2018,111145.12,111.2042443,13.95,23.7
27/10/2018,97973.985,98.83226708,15.45,20.5
28/10/2018,95624.015,110.2151781,12.6,22.8
29/10/2018,110196.615,142.3380601,13.05,25.6
30/10/2018,113459.025,149.0806203,16.75,25.8
31/10/2018,114402.745,121.6154276,16.25,16.7
1/11/2018,119350.665,101.7889277,23.55,14.2
2/11/2018,116793.855,79.01902017,23.95,13.4
3/11/2018,93859.285,74.72966509,16.75,19.9
4/11/2018,96432.625,90.90147276,15.05,19.7
5/11/2018,107014.075,104.6322227,21.55,15.8
6/11/2018,100696.565,115.778035,18.85,7.8
7/11/2018,106387.195,95.56956477,14.15,18.2
8/11/2018,109430.37,91.88451742,12.35,22.7
9/11/2018,112506.95,101.7347422,14,14.8
10/11/2018,100203.55,86.72527139,14.65,27.3
11/11/2018,94602.89,76.6722044,14.45,29.1
12/11/2018,114159.595,105.4518321,20.55,17.5
13/11/2018,120185.265,111.5733647,23.7,18.4
14/11/2018,116487.58,119.6247227,16.05,7.2
15/11/2018,108628.34,96.50196575,15.9,23.8
16/11/2018,107405.925,97.76708195,13.65,29.8
17/11/2018,90498.92,83.26708138,13.85,29.9
